Date,Nikkei
2017-01-04,19594.16
2017-01-05,19520.69
2017-01-06,19454.33
2017-01-10,19301.44
2017-01-11,19364.67
2017-01-12,19134.70
2017-01-13,19287.28
2017-01-16,19095.24
2017-01-17,18813.53
2017-01-18,18894.37
2017-01-19,19072.25
2017-01-20,19137.91
2017-01-23,18891.03
2017-01-24,18787.99
2017-01-25,19057.50
2017-01-26,19402.39
2017-01-27,19467.40
2017-01-30,19368.85
2017-01-31,19041.34
2017-02-01,19148.08
2017-02-02,18914.58
2017-02-03,18918.20
2017-02-06,18976.71
2017-02-07,18910.78
2017-02-08,19007.60
2017-02-09,18907.67
2017-02-10,19378.93
2017-02-13,19459.15
2017-02-14,19238.98
2017-02-15,19437.98
2017-02-16,19347.53
2017-02-17,19234.62
2017-02-20,19251.08
2017-02-21,19381.44
2017-02-22,19379.87
2017-02-23,19371.46
2017-02-24,19283.54
2017-02-27,19107.47
2017-02-28,19118.99
2017-03-01,19393.54
2017-03-02,19564.80
2017-03-03,19469.17
2017-03-06,19379.14
2017-03-07,19344.15
2017-03-08,19254.03
2017-03-09,19318.58
2017-03-10,19604.61
2017-03-13,19633.75
2017-03-14,19609.50
2017-03-15,19577.38
2017-03-16,19590.14
2017-03-17,19521.59
2017-03-21,19455.88
2017-03-22,19041.38
2017-03-23,19085.31
2017-03-24,19262.53
2017-03-26,19060.50
2017-03-27,18985.59
2017-03-28,19202.87
2017-03-29,19217.48
2017-03-30,19063.22
2017-03-31,18909.26
2017-04-02,18979.00
2017-04-03,18983.23
2017-04-04,18810.25
2017-04-05,18861.27
2017-04-06,18597.06
2017-04-07,18664.63
2017-04-09,18800.50
2017-04-10,18797.88
2017-04-11,18747.87
2017-04-12,18552.61
2017-04-13,18426.84
2017-04-14,18335.63
2017-04-16,18240.50
2017-04-17,18355.26
2017-04-18,18418.59
2017-04-19,18432.20
2017-04-20,18430.49
2017-04-21,18620.75
2017-04-23,18909.00
2017-04-24,18875.88
2017-04-25,19079.33
2017-04-26,19289.43
2017-04-27,19251.87
2017-04-28,19196.74
2017-04-30,19202.50
2017-05-01,19310.52
2017-05-02,19445.70
2017-05-07,19729.00
2017-05-08,19895.70
2017-05-09,19843.00
2017-05-10,19900.09
2017-05-11,19961.55
2017-05-12,19883.90
2017-05-15,19869.85
2017-05-16,19919.82
